City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Cumberland,US,2021-09-15 02:12:26,35.0502,-78.8664,81.48,77,1,5.75,clear sky
157,Paramonga,PE,2021-09-15 02:12:26,-10.6667,-77.8333,61.34,85,95,10.25,overcast clouds
158,Lebu,CL,2021-09-15 02:12:26,-37.6167,-73.65,47.48,78,100,7.7,overcast clouds
159,Montepuez,MZ,2021-09-15 02:12:27,-13.1256,38.9997,63.59,94,48,1.61,scattered clouds
160,Arlit,NE,2021-09-15 02:12:27,18.7369,7.3853,94.15,24,30,11.36,scattered clouds
161,Honningsvag,NO,2021-09-15 02:12:27,70.9821,25.9704,44.26,71,100,5.19,overcast clouds
162,Baykit,RU,2021-09-15 02:12:27,61.67,96.37,41.2,96,99,1.05,overcast clouds
163,Novikovo,RU,2021-09-15 02:12:28,51.1537,37.8879,48.51,53,87,7.61,overcast clouds
164,Laguna,US,2021-09-15 02:12:28,38.421,-121.4238,96.93,22,1,1.99,smoke
165,Samarai,PG,2021-09-15 02:12:28,-10.6167,150.6667,79.93,81,67,14.56,broken clouds
166,Provideniya,RU,2021-09-15 02:12:28,64.3833,-173.3,44.71,70,90,4.47,overcast clouds
167,Novyy Urengoy,RU,2021-09-15 02:12:29,66.0833,76.6333,39.29,91,67,6.87,broken clouds
168,Andenes,NO,2021-09-15 02:12:29,69.3143,16.1194,44.58,81,90,3.44,overcast clouds
169,Jijiga,ET,2021-09-15 02:12:29,9.35,42.8,63.34,81,69,10.07,broken clouds
170,Preston,GB,2021-09-15 02:12:30,53.7667,-2.7167,58.15,3,17,2.68,few clouds
171,Ancud,CL,2021-09-15 02:12:30,-41.8697,-73.8203,48.42,92,100,12.73,light rain
172,Kilindoni,TZ,2021-09-15 02:12:30,-7.9139,39.6668,76.53,77,46,11.65,scattered clouds
173,Lesnoy,RU,2021-09-15 02:12:30,57.6198,63.0784,51.39,94,100,6.4,overcast clouds
174,Monroe,US,2021-09-15 02:12:31,43.1501,-77.6831,78.4,73,75,11.5,broken clouds
175,Haines Junction,CA,2021-09-15 02:12:31,60.7522,-137.5108,45.79,69,100,4.59,overcast clouds
176,Tuatapere,NZ,2021-09-15 02:12:31,-46.1333,167.6833,51.82,61,29,8.63,scattered clouds
177,Geraldton,AU,2021-09-15 02:12:32,-28.7667,114.6,68.41,49,21,8.05,few clouds
178,Havre-Saint-Pierre,CA,2021-09-15 02:12:32,50.2334,-63.5986,43.56,63,54,10.04,broken clouds
179,Road Town,VG,2021-09-15 02:11:49,18.4167,-64.6167,83.19,79,100,16.02,overcast clouds
180,Sinnamary,GF,2021-09-15 02:12:32,5.3833,-52.95,78.46,86,0,7.96,clear sky
181,Portalegre,PT,2021-09-15 02:12:32,39.2938,-7.4312,59.92,86,29,0.89,scattered clouds
182,Mar Del Plata,AR,2021-09-15 02:12:33,-38.0023,-57.5575,43.11,81,11,9.28,few clouds
183,Luderitz,NA,2021-09-15 02:12:33,-26.6481,15.1594,51.1,76,0,13.78,clear sky
